Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
42236.328125,-87.89983989777399,73.80551485863819,-71.25036729251387,165.9286736978693
42480.46875,-86.58954915748299,38.34169395328593,-71.28675078599292,170.3827541522222
42724.609375,-85.4180774270833,5.062822275616543,-71.24360786847335,160.5193392003247
42968.75,-85.24334159115159,144.0891268110493,-71.11906857834286,147.4705370429815
43212.890625,-85.35064221735254,131.6806227385796,-71.01976726762547,127.5851012211827
43457.03125,-86.80524152979345,126.830509915892,-71.03514002329673,94.17556535383541
43701.171875,-88.00573085574753,168.7232290243393,-70.98549858004161,42.41880135580323
43945.3125,-88.18517785747591,173.6782853420602,-70.97727364584259,136.7939047255779
44189.453125,-88.15529947352738,154.6743064756193,-70.93000786539189,137.6478104408319
44433.59375,-88.07655934718723,23.994779014686,-71.03226964512086,135.6584838968882
44677.734375,-88.07443174577764,14.02311305368971,-71.28953132376483,133.3206259675971
44921.875,-88.01827697816839,34.48574177481689,-71.41862564628767,139.5941616891698
45166.015625,-87.9729171862475,59.4968126958366,-71.53779339693513,152.1075802209153
45410.15625,-87.94691631949048,80.89938162583654,-71.50985926853639,178.0232350082476
45654.296875,-88.01606686447286,89.23843241017802,-71.27478176952233,67.21713196434455
45898.4375,-88.29098524720685,78.45279740044985,-71.10985918580172,113.3585910258176
46142.578125,-88.34532435956308,27.84394264735948,-71.14030853516438,136.2621505056662
46386.71875,-88.33798800234428,175.1872847928928,-71.23814736948646,105.9253034358659
46630.859375,-88.34523626823538,160.8360663279461,-71.29875209326224,124.3461754902149
46875,-88.28844577667533,135.2444563077032,-71.32081351749721,139.1879084487543
47119.140625,-88.18133730860953,125.0359019281495,-71.2600043263617,138.6872529809205
47363.28125,-88.09432559912133,126.2667091106177,-71.12456751091153,115.6455239760122
47607.421875,-88.149224949469,125.669205835736,-70.93042836542377,78.69639930418909
47851.5625,-88.2068932122378,132.3150278371045,-70.75353704436961,68.15781780054623
48095.703125,-88.3234239342473,167.8720987518824,-70.70697688451899,66.26851108169546
48339.84375,-88.41210491203056,170.9046055100179,-70.81065624154733,56.40424967735606
48583.984375,-88.41872372545055,70.98724970313141,-71.01891489999089,46.45601631714546
48828.125,-88.36263390574295,77.15644444280539,-71.08335722153294,22.0711404478559
49072.265625,-88.35484522004315,119.2121361450513,-71.02205290389432,96.20181898123228
49316.40625,-88.33631765639976,169.635130333098,-70.98999596603277,64.80545423979481
49560.546875,-88.34080286794247,6.112001591292698,-71.02227850856954,65.437129286218
49804.6875,-88.38640535631141,20.18516476344313,-71.0895067977753,82.37085077307519
50048.828125,-88.35721867933655,56.68023104753954,-71.12534418312545,103.8448482322727
50292.96875,-88.29189759511149,103.4424394556532,-71.16095609232553,140.6303133495782
50537.109375,-88.23408608253368,143.5702803822542,-71.16528506326755,8.093750919063217
50781.25,-88.19763000571429,151.8702552313107,-71.13666098905887,54.56270125765649
51025.390625,-88.17848803787804,142.6944759634224,-71.21552519756419,77.58996413809182
51269.53125,-88.02371928635507,54.41384926702263,-71.3616756794048,70.7962012400469
51513.671875,-88.04025553307257,4.021687828453768,-71.34597529847366,46.52196700644294
51757.8125,-88.15075334248162,165.6963568935155,-71.25359709284018,115.1100843949846
52001.953125,-88.23667873819973,127.7223813779767,-71.20599118809194,74.45701735623395
52246.09375,-88.29542122280687,94.05352270115037,-71.21897506421006,6.717138798197711
52490.234375,-88.21660360967738,88.52261575031416,-71.28173815871804,150.3691634962823
52734.375,-88.1671322974538,103.0183495505694,-71.38970309692996,134.8623594305158
52978.515625,-88.1674658737512,107.289287181225,-71.42777189036235,139.4503208556902
53222.65625,-88.24096670265286,102.0220740554152,-71.3128499634028,155.5701236107929
53466.796875,-88.25264356307612,87.36886107240015,-71.1560000468515,167.4154724363988
53710.9375,-88.23957157043651,66.49288942845105,-71.16224977368444,29.57258183632975
53955.078125,-88.32040107741895,52.7470017767883,-71.22827604836789,78.7123252742041
54199.21875,-88.35117673590892,39.7371228059428,-71.1165157138974,104.6535045459496
54443.359375,-88.34917004896235,23.18658513508246,-70.98215327852338,129.1316077264088
54687.5,-88.1957449375296,14.85788501349817,-71.02545710494982,154.5185760729976
54931.640625,-88.09629049205168,13.87458455629803,-71.25306535276542,171.5311553033531
55175.78125,-88.05874685421804,14.51093769920907,-71.42407546473328,8.392431398248862
55419.921875,-88.07160005799861,21.62902433302146,-71.44359718096732,31.14580685916656
55664.0625,-88.09369474616572,38.52002142654926,-71.43324066763326,57.20648008914411
55908.203125,-88.13186126731175,57.02488644355623,-71.41723568141605,114.9009595851953
56152.34375,-88.19384513855624,68.37416899125425,-71.43749431679973,139.2655999014036
56396.484375,-88.29766836074029,51.74828141099136,-71.53210977440784,126.2088839024821
56640.625,-88.30735140727965,63.41525893186661,-71.47253295920919,144.6080982433725
56884.765625,-88.29407242629189,88.98670843185376,-71.28646168917118,149.3524694102092
57128.90625,-88.31940829244652,143.3991241231353,-71.1796857465899,134.0281209166852
57373.046875,-88.28302017763077,51.02901219042385,-71.08020184960031,144.3926284098037
57617.1875,-88.2593895030392,79.95922888737705,-71.00165634502602,134.955587340289
57861.328125,-88.26719989448515,73.46144394065861,-71.09629867087762,162.4856622545958
58105.46875,-88.2184134041629,37.56456608435855,-71.21609919631521,176.194197212543
58349.609375,-88.16657835314325,118.4797744183329,-71.28718005362683,8.278124170403677
58593.75,-88.15377478359837,125.0239974667333,-71.23116679730188,41.96110024314374
58837.890625,-88.01371418916305,147.3498316796728,-71.20028873000112,91.22058282689933
59082.03125,-87.85106066460824,171.457438996584,-71.30256263055621,106.3146799487031
59326.171875,-87.94285824174597,5.525080129033659,-71.43289254336273,109.0435276501792
59570.3125,-88.1217564950536,13.20586006814049,-71.4490524081621,106.2628554247963
59814.453125,-88.1964186690212,12.58716725863842,-71.339374923181,106.7467651292837
60058.59375,-88.07941179344496,171.9020313020234,-71.24472053974935,102.655321939054
60302.734375,-88.01373428623876,49.35697020035959,-71.20214922399232,96.53821406597177
60546.875,-88.03301396084022,30.9060925370841,-71.15312295648941,92.20375897014861
60791.015625,-88.07922030523029,26.02093645936321,-71.21687202410065,92.01001359635529
61035.15625,-88.07928402022097,19.4893941302192,-71.31648116862704,94.92796992903673
61279.296875,-88.1849489185677,18.63094345155823,-71.32045630185138,104.9002593058886
61523.4375,-88.28423458860928,25.39572131911815,-71.17038351895827,49.12058996447663
61767.578125,-88.24344069452842,71.91897830795089,-71.04308615771015,75.55756667181872
62011.71875,-88.03883274640847,138.8484466644295,-71.11530978798352,87.91533053428
62255.859375,-87.91897800629657,157.8254403007378,-71.19803840080161,95.26716947549812
62500,-87.93166972473246,179.5362729501207,-71.32620283152427,109.0821993007208
62744.140625,-88.00791954221847,17.51455815086445,-71.38787521813633,117.9822527555672
62988.28125,-88.02983707748056,38.17638345364721,-71.35861909742256,126.9185736634006
63232.421875,-88.1863879029425,49.78186787211773,-71.38565443362367,162.2214576256647
63476.5625,-88.28828992712556,32.0243148666123,-71.37482759770162,178.2196852458303
63720.703125,-88.28061494358388,114.4876817901591,-71.13104627898296,176.8929860692308
63964.84375,-88.17193752619987,90.45353170828277,-71.0669776427074,161.6337650352434
64208.984375,-88.10313294707279,84.87938812838642,-71.18991620407587,137.6069389477426
64453.125,-88.28063806155424,82.06053393581782,-71.31952870534646,124.500420038198
64697.265625,-88.50039000847377,64.5777475312628,-71.4196338235307,109.0506781674667
64941.40625,-88.37225408180711,112.8199938889417,-71.49683992077162,97.67802557754931
65185.546875,-88.205155333188,100.5955981339614,-71.53849818507072,96.76404975436176
65429.6875,-88.04519601797706,99.20060338523113,-71.42585035064145,101.9128841821422
65673.828125,-88.02089595484277,105.9626128893886,-71.37245494463255,124.2621312787977
65917.96875,-88.13237787980529,103.0760760670766,-71.32783724357208,168.4233391814452
66162.109375,-88.23815302174023,87.02879939616459,-71.2184565800197,174.2956735570443
66406.25,-88.32007059940906,85.39038528533899,-71.1984375665081,166.1055099837219
66650.390625,-88.25461657678701,108.9822164436028,-71.20977534514452,150.4463386344114
66894.53125,-88.17380772517868,155.1380043503772,-71.38733199449294,142.8476270717557
67138.671875,-88.20224487214392,28.80647967189888,-71.4707185469863,157.4531947080085
67382.8125,-88.17975818198508,31.44085962054693,-71.48947538375849,0.9401535592939373
67626.953125,-88.131019980695,22.35919799087063,-71.53963839107975,10.53452997800295
67871.09375,-88.04790805734258,2.539455632380212,-71.44730522038151,22.77628534165427
68115.234375,-88.08442699037087,153.3525020424128,-71.37164716112142,48.0045594379209
68359.375,-88.10382219433774,139.123729710691,-71.47929054403393,110.2895853667334
68603.515625,-88.17073287439023,127.277277931704,-71.55023946536009,139.0192507839028
68847.65625,-88.34396563500059,100.4541481340142,-71.55657224676432,128.6010782551544
69091.796875,-88.43756504373098,69.23457128553676,-71.42072362386901,118.3001987060068
69335.9375,-88.26120015727257,51.03488650388855,-71.35000235349449,104.6686184286103
69580.078125,-88.16992651363115,32.20581800552872,-71.3082608014743,85.7949709512733
69824.21875,-88.15629320169805,6.264373467126799,-71.29002337955279,70.09841056085796
70068.359375,-88.22564687863417,165.3495706769428,-71.30732587694536,44.33770555629926
70312.5,-88.30759611260711,146.3656171734748,-71.39849764207055,9.701672371453167
70556.640625,-88.23518210831421,113.33344726311,-71.47550128404129,19.03966168054481
70800.78125,-88.20058652716949,18.72137800660974,-71.59488056680486,47.32744452358531
71044.921875,-88.109258386056,10.89397364262593,-71.68649346300576,74.39421452300847
71289.0625,-88.04517258293126,25.5522123140025,-71.64247460694514,80.99644303913301
71533.203125,-88.10054985862541,30.4750714312199,-71.59876610752762,77.51314104173109
71777.34375,-88.13379255446665,32.36706132554534,-71.52064407621464,62.69893540422606
72021.484375,-88.14474090295144,16.97724681109512,-71.36097541927165,26.19233212083214
72265.625,-88.01576603776527,136.5691683192564,-71.19179017109188,3.551493007462048
72509.765625,-88.08956464360693,89.10810241208726,-71.05800775131527,173.0600799551267
72753.90625,-88.25211276359205,173.5990113334922,-70.96770863520416,158.041769820511
72998.046875,-88.34564634433181,139.801732119896,-71.0529363050761,141.987456059609
73242.1875,-88.41503871781021,95.19573431824693,-71.27316530322443,116.8190963876241
73486.328125,-88.35275635838123,64.98843310794923,-71.36863075926394,81.55112621575329
73730.46875,-88.36442092034025,42.32688779887005,-71.21431941352353,139.2167719225808
73974.609375,-88.30997585281047,20.05051780654572,-71.06719707009275,94.9885982291832
74218.75,-88.22571127276667,7.671746990722253,-71.03293876521795,76.16889852956565
74462.890625,-88.1951400514599,8.282240683815488,-71.0716655784498,105.5100477750475
74707.03125,-88.20590463007427,40.20178516531192,-71.1283647739192,156.2080493197772
74951.171875,-88.21389619587926,123.448005777236,-71.27568681359649,15.73371838883524
75195.3125,-88.18885477783247,148.938826230709,-71.33933440163841,26.96929179088227
75439.453125,-88.23512276641544,169.1166819564052,-71.30887195275088,25.47397001201628
75683.59375,-88.18252775101202,23.12529247980624,-71.29151526520631,36.42549097240517
75927.734375,-88.17535055032948,66.422757934925,-71.25786580323891,77.76266330996759
76171.875,-88.14157372838756,89.50212404575214,-71.21827147225162,103.3685652673524
76416.015625,-88.12435279883903,108.8588821730265,-71.22879445926691,117.8101276221425
76660.15625,-88.14185112202321,131.3341275506966,-71.18927254155685,128.5969326343252
76904.296875,-88.16951550339382,131.6106173065158,-71.16884604842448,123.998982139445
77148.4375,-88.21533597499808,97.57993730480636,-71.25710977400811,122.9023068626837
77392.578125,-88.2279542219282,18.95811860653441,-71.43247675868098,160.6379400118807
77636.71875,-88.18105193832794,2.803490921644584,-71.44519062077278,25.19343774966281
77880.859375,-88.15119177030518,167.8742171790061,-71.31363090119955,34.0667334667589
78125,-88.03275652355094,153.9153419668744,-71.2472381429326,19.47340072909625
78369.140625,-88.05278852541649,145.3355818366024,-71.26025567050792,5.311309251313041
78613.28125,-88.10777898408355,172.8989183441685,-71.27122606373474,163.2139322760769
78857.421875,-88.16267209772151,59.44240877626825,-71.37751012018703,135.3727530697566
79101.5625,-88.1517865209461,67.26882767408721,-71.59946242520429,126.4872451912537
79345.703125,-88.13258454062131,77.52199353213065,-71.60525742607246,123.4524548185917
79589.84375,-88.11364493771555,86.3484440139147,-71.4873125941954,126.4209771446797
79833.984375,-88.0799286188973,146.4740469849388,-71.30126755719022,72.31490588850191
80078.125,-88.0968285389653,35.35631587922099,-71.33192947905088,151.6686219870672
80322.265625,-88.03225452059543,69.1658191254739,-71.43509201735094,129.5832337801042
80566.40625,-88.04957848822583,78.9124022484169,-71.41983612368735,85.80393036568979
80810.546875,-88.15334887535232,70.53433796209147,-71.32476111373647,122.0235893759634
81054.6875,-88.24281157147921,54.12368638023582,-71.26523940904805,129.7234814439861
81298.828125,-88.24166699542188,80.70264005499229,-71.15544887584224,96.36076112769042
81542.96875,-88.12134702368678,60.06042876032009,-71.08657754639698,62.90558421256536
81787.109375,-88.13355334311862,34.90844871320788,-71.13501032654177,51.66047188040245
82031.25,-88.277826789372,22.31493396883604,-71.27312505657422,67.01625732708897
82275.390625,-88.50834390746306,19.91610473028328,-71.3449705346106,77.95715387270798
82519.53125,-88.63519233429743,23.64805754284443,-71.38345484869154,78.55018016058591
82763.671875,-88.56227280983886,31.85361991904525,-71.396503260321,83.80558418919303
83007.8125,-88.48686610303321,41.18933751721445,-71.47628443762399,84.02536471614179
83251.953125,-88.39487180479151,40.5598913972691,-71.60220826961546,75.45000872797854
83496.09375,-88.18756475451517,28.11670311341542,-71.49341545313338,68.10017860547127
83740.234375,-88.08886863586406,16.66238380554132,-71.34952969483602,44.02456489784513
83984.375,-87.9300141160353,12.31205545369359,-71.25871271980125,142.5931381161248
84228.515625,-87.81825888097114,8.727245934457125,-71.35634861916874,145.2193964506081
84472.65625,-87.90086715552412,59.19162473894305,-71.42689684384143,141.0129022553027
84716.796875,-88.03030279199497,136.6726256291789,-71.33659543253464,119.423738746695
84960.9375,-88.09538325279871,143.2880441661086,-71.27522098770525,120.7221362142329
85205.078125,-88.14346868972754,133.8604988142314,-71.30856974169549,123.4959024438956
