Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
0,-68.57094677346402,0,-8.377051179043978,0
244.140625,-68.86150737670101,0.9972949586664326,-8.686346939698101,0.01164346935560682
488.28125,-72.2649011637869,3.815057225669783,-12.1842375747543,0.02312393573923681
732.421875,-81.55582798401498,18.63495998051254,-22.61440437365401,0.06410654218149563
976.5625,-87.3395492753468,87.14602918613461,-45.28086056652923,0.6819066007557862
1220.703125,-87.28183045855211,104.8293171384245,-58.21191569961347,0.3569286559510008
1464.84375,-87.31031348700661,127.4287523624977,-54.75078728486288,176.6682271465865
1708.984375,-87.45683614992556,152.0941853917855,-51.49741349154354,176.7927670974017
1953.125,-87.74078084845046,178.8885074942992,-50.74316480674183,176.4437829567016
2197.265625,-88.03068973258794,12.1146051708986,-50.59100852355685,169.3118840389909
2441.40625,-88.29486767840777,11.33476754655189,-51.94216650481631,82.31802591811172
2685.546875,-88.55720575332052,5.776266165025866,-53.70562567106597,4.940327838101518
2929.6875,-88.82793209827825,164.7692441367366,-53.495173376229,176.8220529518578
3173.828125,-88.93019318876064,98.34792702446039,-52.88013071022721,32.3718743847991
3417.96875,-89.03259830556871,63.98022057484726,-50.50026179813749,75.22040698114024
3662.109375,-89.20391238250272,45.99096467658692,-46.94245001090943,79.84505543212363
3906.25,-89.37869722924111,35.97856477604142,-45.98720516309776,86.07169548483037
4150.390625,-89.40625536341497,32.37276551292408,-45.90851128552117,90.20882201206753
4394.53125,-89.30847596224859,29.48226938103845,-47.11799942797185,92.55908976786618
4638.671875,-89.25650937087784,169.3089323311264,-50.00747996286712,160.1883257045779
4882.8125,-89.22863746164495,0.05272904544478199,-50.52379851437407,5.42663918141827
5126.953125,-89.345083930573,10.08823050574871,-49.80051451922888,147.6567441241551
5371.09375,-89.4367170413442,32.0814051240615,-44.43616741707753,162.0789406626018
5615.234375,-89.40876752062785,65.79617351566182,-38.53865891924122,155.8917654757583
5859.375,-89.38306932574049,74.82586865039241,-37.00886125419914,155.353069580908
6103.515625,-89.43751360472994,58.39365855175316,-37.00399501977493,156.1974087642703
6347.65625,-89.47049700734105,6.173367662402321,-38.13390977445343,162.323004742118
6591.796875,-89.55725342368383,131.7919056840289,-43.35752987936232,2.986580178703106
6835.9375,-89.61454137282473,116.0526943632043,-48.75530069194122,106.6332673643839
7080.078125,-89.62570715928335,93.22468957032729,-48.96333921280348,136.1084663391326
7324.21875,-89.54898585488779,71.05519797465479,-45.67578731389956,116.6454032391772
7568.359375,-89.51636611717454,61.09772517289547,-39.25927969837615,84.25074562965945
7812.5,-89.58905402068224,104.5590738959081,-37.02318970009971,76.69348098069248
8056.640625,-89.72509636772885,22.92282568157292,-36.9436911216158,76.27955629668993
8300.78125,-89.88975374559244,0.4407614927453777,-37.62649056980405,76.40882517750154
8544.921875,-89.80096211763566,171.8436999684561,-41.78328897440959,86.17662383668153
8789.0625,-89.63158569579349,168.1457579675726,-47.04317837132314,114.9969164543969
9033.203125,-89.56912372880308,12.38321477066505,-47.53527272453531,119.9649335457131
